question_id	tag_id
9287	81
9287	1398
9287	93
9287	203
9287	6482
9287	1979
9287	439
9287	176
9287	22
9287	3899
9287	1442
9287	2247
9287	3657
9287	4626
9287	4127
9343	1416
9343	40
9343	3127
9343	149
9343	6051
9343	740
9343	93
9343	22
9343	3134
9343	195
9343	1488
9343	531
9343	1746
9343	3844
9343	333
9343	702
9343	578
9343	9944
9343	607
9343	9130
9471	1193
9471	376
9471	79
9471	5892
9511	6134
9511	281
9511	2243
9511	426
9511	5293
9511	1453
9511	373
9512	758
9512	11681
9512	12
9512	764
9512	10182
9512	1225
9512	2178
9512	6034
9512	3616
9512	2132
9512	441
9512	1746
9512	793
9512	93
9512	74
9512	1261
9512	10628
9512	9963
9512	2133
9512	6008
9545	589
9545	5783
9545	210
9545	6582
9545	3322
9545	4595
9545	1062
9545	1058
9545	858
9545	6134
9553	3323
9553	437
9553	564
9553	2018
9553	740
9553	520
9553	1444
9553	7918
9553	664
9553	747
9553	6134
9553	101
9553	702
9553	23
9553	11785
9553	7019
9553	5321
9553	9130
9588	2355
9588	776
9588	10409
9588	37
9588	6134
9588	2387
9588	296
9588	3952
9588	3572
9588	5543
9588	3591
9588	1647
9588	9130
9637	6479
9637	176
9637	73
9637	2539
9637	5529
9637	22
9637	1349
9637	6111
9637	438
9637	6285
9637	1929
9637	969
9637	3099
9637	8608
9637	6854
9637	48
9637	19
9637	2375
9637	6495
9637	2353
9637	4687
9640	926
9640	19
9640	21
9640	40
9640	4400
9640	740
9640	1058
9640	49
9640	2529
9640	657
9640	8775
9640	5676
9640	9963
9640	645
9640	1916
9640	1634
9640	1055
9640	1062
9640	3404
9640	531
9640	6008
9640	5314
9640	5242
9640	4887
9640	4888
9640	4886
9640	4889
9640	7373
9640	6036
9640	366
9640	121
9640	3156
9640	1289
9640	9130
9640	3609
9640	710
9640	396
9640	4917
9686	1686
9686	408
9686	832
9686	105
9686	834
9686	2919
9686	2847
9686	833
9686	88
9686	746
9686	6
9693	1376
9693	1746
9693	2267
9693	72
9693	1182
9693	645
9693	188
9693	1042
9693	29
9693	451
9693	5293
9693	6134
9766	6111
9766	7019
9766	8084
9766	8387
9766	19
9766	1588
9766	9944
9766	9996
9766	9995
9766	22
9766	177
9766	784
9766	5783
9766	66
9766	819
9766	6489
9768	5664
9768	5240
9768	6950
9768	1489
9768	2107
9768	2323
9768	1914
9768	78
9768	1484
9768	7929
9768	7438
9768	2132
9768	4718
9768	341
9768	11806
9768	6135
9807	34
9807	1
9807	3127
9807	601
9807	2529
9807	6154
9807	9130
9815	3644
9815	16
9815	6269
9815	210
9815	3144
9815	2107
9815	2132
9815	6
9815	21
9815	7438
9815	4683
9815	3493
9815	1125
9815	121
9815	607
9815	611
9815	7354
9815	4197
9815	6838
9815	2323
9815	9130
9902	6200
9902	187
9902	5269
9902	5293
9902	190
9902	5516
9902	10578
9902	8012
9902	3619
9902	1646
9902	2847
9902	2479
9902	19
9902	1612
9902	4522
9902	5543
9902	9944
9902	1442
9902	2132
9902	9915
9902	952
9902	3591
9902	1225
9902	3047
9902	93
9902	6482
9902	911
9902	177
9902	636
9902	12841
9902	694
9902	4081
9902	16
9902	2942
9902	22
9902	13697
9902	333
9902	1624
9902	6451
9902	3127
9902	2771
9902	6319
9902	1936
9902	1289
9902	4756
9902	907
9902	5240
9902	9170
9902	3810
9902	13131
9902	188
9902	801
9902	3150
9902	1092
9902	3761
9902	1210
9902	2370
9902	2745
9902	870
9902	2919
9902	4763
9902	4127
9902	8066
9902	7171
9902	4618
9902	3017
9902	3101
9902	8741
9902	9663
9902	437
9902	4665
9902	2118
9902	2087
9902	2978
9902	2211
9902	4199
9902	8374
9902	2306
9902	9286
9902	5483
9902	2744
9902	445
9902	4952
9902	3358
9902	5759
9902	1596
9902	5758
9902	2377
9902	6212
9922	4127
9922	607
9922	611
9922	4615
9922	408
9922	43
9922	564
9922	425
9922	4595
9942	18
9942	3113
9942	3127
9942	4
9942	4615
9942	7438
9942	177
9942	2878
9942	4236
9942	1109
9942	105
9942	4378
9942	1689
9942	3619
9942	13234
9942	9944
9942	4884
9942	607
9942	740
9942	6479
9942	2133
9942	520
9942	11800
9942	5462
9942	5136
9942	7084
9942	2651
9942	10595
9942	5408
9942	2247
9942	11681
9942	4127
9942	543
9942	1725
9942	101
9942	9130
9942	6008
9943	2529
9943	5293
9943	563
9943	2308
9943	2660
9943	704
9943	441
9943	2353
9943	2132
9943	699
9943	177
9943	4180
9943	2991
9943	10996
9943	10261
9943	5240
9943	9944
9943	2878
9943	2847
9943	9963
9943	1474
9943	6201
9977	2304
9977	75
9977	5783
9977	764
9977	3413
9977	133
9977	22
9977	9944
9977	907
9977	1746
9977	9819
9977	87
9977	5613
9977	6134
9977	9130
10026	2242
10026	1336
10026	3119
10026	83
10026	4522
10026	5783
10026	4400
10026	23
10026	1289
10026	441
10026	3127
10026	1576
10026	1186
10026	28
10026	907
10026	2942
10026	9819
10026	3390
10026	52
10026	48
10026	9663
10026	2978
10026	9386
10026	3121
10026	3226
10026	3081
10026	7171
10026	3988
10026	2472
10026	1051
10026	5543
10026	4407
10026	19
10026	2672
10026	9944
10026	1442
10026	9130
10027	3658
10027	2496
10027	3858
10027	10060
10027	627
10027	13284
10027	7394
10027	14090
10027	5393
10027	1900
10038	7355
10038	607
